               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,              0.0346,           0.0098443,           0.0030181,             0.49945,             0.57358,             0.49169,             0.14753,            0.064101,           0.0069084,           0.0090237,            0.001288,            0.001288,            0.001288
                 134,            0.033129,           0.0092792,           0.0032843,             0.46426,             0.58834,              0.4923,             0.15082,            0.062022,           0.0070379,           0.0088495,            0.001222,            0.001222,            0.001222
                 135,            0.035049,           0.0090408,           0.0032391,             0.46289,             0.60093,             0.49297,             0.15392,            0.062008,           0.0070172,           0.0089761,            0.001156,            0.001156,            0.001156
                 136,            0.035751,           0.0082305,           0.0040412,             0.46289,             0.60093,             0.49297,             0.15392,            0.062008,           0.0070172,           0.0089761,             0.00109,             0.00109,             0.00109
                 137,             0.02831,           0.0088238,           0.0019713,             0.39097,                0.55,             0.46214,             0.13583,            0.061544,           0.0070289,             0.00895,            0.001024,            0.001024,            0.001024
                 138,            0.033903,           0.0090737,           0.0030575,             0.46617,             0.62879,             0.49333,             0.13169,            0.062281,             0.00697,            0.008932,            0.000958,            0.000958,            0.000958
                 139,            0.035177,            0.009797,           0.0024583,             0.45328,             0.59054,             0.48674,             0.15385,             0.06056,           0.0069858,           0.0086839,            0.000892,            0.000892,            0.000892
                 140,            0.033222,           0.0087732,           0.0025139,             0.45328,             0.59054,             0.48674,             0.15385,             0.06056,           0.0069858,           0.0086839,            0.000826,            0.000826,            0.000826
                 141,             0.03379,           0.0085684,           0.0021643,             0.43003,             0.56595,             0.48674,             0.15385,            0.060721,           0.0069727,           0.0086834,             0.00076,             0.00076,             0.00076
                 142,            0.032538,           0.0077989,           0.0020068,             0.42119,                0.55,              0.4778,              0.1408,             0.06228,           0.0069612,           0.0089916,            0.000694,            0.000694,            0.000694
                 143,            0.031279,           0.0080671,            0.002303,             0.42483,                0.55,             0.45111,             0.13001,             0.06232,           0.0069628,           0.0090812,            0.000628,            0.000628,            0.000628
                 144,            0.032668,           0.0096594,            0.002149,             0.42483,                0.55,             0.45111,             0.13001,             0.06232,           0.0069628,           0.0090812,            0.000562,            0.000562,            0.000562
                 145,            0.032789,           0.0074379,           0.0023781,             0.41176,                0.55,              0.4578,             0.12168,            0.062892,            0.006963,           0.0091493,            0.000496,            0.000496,            0.000496
                 146,            0.032725,            0.010317,           0.0019546,             0.40395,              0.5559,             0.45779,              0.1181,            0.063662,           0.0069399,           0.0095937,             0.00043,             0.00043,             0.00043
                 147,            0.031129,            0.010371,           0.0021299,             0.40915,                0.55,             0.45778,             0.12821,            0.063568,           0.0068977,           0.0094695,            0.000364,            0.000364,            0.000364
                 148,            0.030722,           0.0091655,           0.0018947,             0.40915,                0.55,             0.45778,             0.12821,            0.063568,           0.0068977,           0.0094695,            0.000298,            0.000298,            0.000298
                 149,            0.027583,           0.0092338,           0.0020554,             0.41538,                0.55,             0.45779,             0.12821,            0.063602,           0.0068813,           0.0095283,            0.000232,            0.000232,            0.000232
